feature_name,feature_group,model_role,include_for_audit,target_game_univ_auc,target_game_univ_logloss_lift_pct,target_game_univ_p,target_game_univ_q_fdr,target_game_univ_odds_ratio,target_game_multivar_coef_std,target_game_sign_stability_pct,target_game_perm_importance_pctile,target_game_shap_importance_pctile,target_game_ablation_logloss_delta_pct,target_champ_univ_auc,target_champ_univ_logloss_lift_pct,target_champ_univ_p,target_champ_univ_q_fdr,target_champ_univ_odds_ratio,target_champ_multivar_coef_std,target_champ_sign_stability_pct,target_champ_perm_importance_pctile,target_champ_shap_importance_pctile,target_champ_ablation_logloss_delta_pct,target_roundflags_auc_avg,target_roundflags_perm_importance_pctile,importance_rank_stability_std,cutoff_significance_band,cutoff_univariate_band,cutoff_multivariate_band,cutoff_stability_band,overall_recommendation,recommendation_reason,notes
Season,identity_or_label,id_or_label,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TeamID,identity_or_label,id_or_label,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TeamName,identity_or_label,id_or_label,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConfAbbrev,identity_or_label,id_or_label,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_blk,regular_season,feature,1,0.6139266460627519,2.9885772410397573,2.966139554310583e-26,8.305190752069632e-26,1.5294100878649755,0.19006630773320699,100.0,72.85714285714285,,0.16760812912089038,0.7414890282131661,7.301764787771573,2.2037240297986043e-06,1.7140075787322478e-05,2.1770854695148047,0.275014165546113,100.0,14.285714285714285,,-0.5624280823957692,0.6296867631811806,37.857142857142854,29.470958840288624,strong,strong,situational,unstable,situational,Useful but target-specific or context-dependent,
rs_pf,regular_season,feature,1,0.5808372638420347,1.6020985253595688,2.644829224959578e-15,5.445236639622661e-15,0.7384139179488229,-0.2724777131773085,100.0,91.42857142857143,,0.6102620096560436,0.6464890282131661,1.2193717425930974,0.03253964855279586,0.05994145786041343,0.6246033127781022,-0.16299225433453277,100.0,88.57142857142857,,0.26863426875879953,0.6081139910497764,88.57142857142857,1.6495721976846474,strong,moderate,useful,stable,situational,Useful but target-specific or context-dependent,
rs_opp_fgm,regular_season,feature,1,0.5480100742950684,0.522021206882985,2.623234316545422e-06,3.906944726769778e-06,0.8381160847268355,0.0,0.0,27.142857142857142,,-0.00021505839491617936,0.5141065830721003,-2.2359245542767785,0.7682754644561763,0.7908718016460639,0.9385084102042992,0.0,0.0,48.57142857142857,,0.0022250119725276333,0.5582877676687834,39.464285714285715,10.754389232081106,strong,weak,low,unstable,situational,Mixed evidence; keep for now pending pruning phase,
rs_opp_fga,regular_season,feature,1,0.5337802277670852,0.2282420801272656,0.0012898838704624486,0.0016416703805885709,1.1277371686240973,0.03862513377843243,40.0,51.42857142857142,,-0.00459038157997306,0.6417084639498433,1.0393363593378657,0.013648296931115524,0.02809943485817902,1.6908268903543537,0.016706417428443844,20.0,10.0,,-0.16472337033284667,0.5373755068933121,20.53571428571429,21.531745666075736,strong,moderate,low,mostly_stable,situational,Useful but target-specific or context-dependent,
rs_opp_fgm3,regular_season,feature,1,0.5414693077398991,0.3644351180533759,9.038247061749941e-05,0.0001240543714357835,0.8635914142421001,0.0,0.0,27.142857142857142,,1.8753709948971242e-05,0.5550313479623825,-0.5087438793096788,0.29655749764301864,0.35184787855951366,0.7950322012181202,-0.016288584177770803,20.0,25.71428571428571,,0.028630132968083873,0.5400324400280796,41.25,8.586915572405442,strong,weak,low,unstable,situational,Mixed evidence; keep for now pending pruning phase,
rs_opp_fga3,regular_season,feature,1,0.5075042829566189,-0.026990643932758424,0.5490237098666404,0.5651714660391887,0.9779795650031234,0.23475014935364208,100.0,80.0,,-0.031438451912631935,0.5004545454545455,-0.8316220193304582,0.8673962415920671,0.8799672016151404,0.9646738565928622,-0.002086857627267162,20.0,30.0,,0.017762325909464832,0.5114203869933839,51.78571428571429,25.06878292919344,not_significant,near_noise,low,unstable,low_value,Low signal across statistical and predictive checks,
rs_opp_ftm,regular_season,feature,1,0.578071023970745,1.4063001715464158,7.201590031032661e-14,1.4003091727007953e-13,0.7510846773537495,-0.0150959361816612,40.0,22.857142857142858,,-0.0010042535164746082,0.6332131661442006,1.035839277205926,0.049993607290808345,0.08748881275891461,0.639895823986037,0.0,0.0,48.57142857142857,,0.0011316338674680969,0.61512511242404,48.21428571428571,14.744132927449916,strong,moderate,low,unstable,situational,Useful but target-specific or context-dependent,
rs_opp_fta,regular_season,feature,1,0.5744408104206467,1.345257902847846,2.615346313090398e-13,4.817743208324418e-13,0.7563319633952177,-0.05176667908890089,20.0,55.714285714285715,,-0.0012503825804996663,0.6119435736677116,0.35577374598782097,0.09866158111539494,0.14094511587913564,0.6898603978735269,0.0,0.0,48.57142857142857,,0.0010830353068597355,0.6076416259878217,43.214285714285715,6.271222471936154,strong,moderate,low,unstable,situational,Useful but target-specific or context-dependent,
rs_opp_or,regular_season,feature,1,0.5232220312335535,0.07377884561486049,0.05327919660599736,0.0643024786624106,1.0745873552579497,0.0655066729482777,60.0,57.14285714285714,,-0.0003288045166515131,0.5977429467084638,0.4263317009266127,0.06713894310926005,0.10443835594773786,1.4968810462240432,0.3044156710412174,100.0,72.85714285714285,,-0.5171227988996455,0.5079499420022713,28.57142857142857,22.451762350716727,weak,weak,low,mostly_stable,situational,Mixed evidence; keep for now pending pruning phase,
rs_opp_dr,regular_season,feature,1,0.6037337570328838,2.4341969735125617,2.2666318026811935e-22,5.8764528217660565e-22,0.6845942600752648,0.018251516341330952,60.0,58.57142857142858,,-0.0775980384649926,0.7135109717868338,4.158640398674408,0.0007341157990129846,0.0021411710804545383,0.4667436652858687,-0.015570664764776138,20.0,21.428571428571427,,-0.18570094335066367,0.6415575947424912,49.64285714285714,19.38795649734281,strong,strong,low,mostly_stable,situational,Useful but target-specific or context-dependent,
