Season,TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,Seed
2026,BYU,70.4,78,69.9,46,118.6,30,125.5,10,106.7,129,102.2,57,23.3,19,6
2026,Cal Baptist,67.4,223,65.8,265,107,208,107.9,191,99.1,22,101.9,50,6,95,13
2026,Cal Poly,76.1,1,74,1,106.4,220,109.4,164,112,271,113.1,255,-3.7,193,
2026,Cal St. Bakersfield,72.6,14,70.1,40,99.3,336,101.9,303,114.7,320,117.2,320,-15.3,295,
2026,Cal St. Fullerton,75.5,2,72.8,5,106.6,216,109.4,166,109,195,109,167,0.4,152,
2026,California,69.3,129,68,137,110.6,128,114.1,93,104.9,89,102.6,59,11.5,63,
2026,Campbell,70,94,69.7,58,108.5,173,111.2,132,112.6,280,112.6,251,-1.4,162,
2026,Canisius,64.3,349,64.2,336,96.3,352,95.3,356,110.3,228,114.5,284,-19.2,305,
2026,Central Arkansas,68.9,156,67.9,142,113.4,84,110.2,151,108.1,167,108.9,163,1.3,136,
2026,Central Connecticut,65.2,328,65,305,107.7,190,104.7,259,109.8,216,117.4,327,-12.7,274,
2026,Central Michigan,68.3,186,67.1,193,104.9,252,105.9,230,113.9,307,115,293,-9.1,242,
2026,Charleston,68.3,189,67.6,166,109.2,152,108,186,107.4,144,108.2,149,-0.2,153,
2026,Charleston Southern,73.3,10,71.5,13,107.6,192,105.7,236,107.5,145,112.2,242,-6.5,214,
2026,Charlotte,64.4,347,63.4,347,111.6,109,113,107,113.3,298,114.5,285,-1.5,161,
2026,Chattanooga,67.6,218,67.2,188,109.8,141,105.4,246,115.7,332,117.6,328,-12.2,265,
2026,Chicago St.,65.8,306,65.3,293,99,337,99.4,333,115.5,330,119,340,-19.6,299,
2026,Cincinnati,69.2,139,67.5,175,105.2,247,111.2,131,98.1,15,93.7,8,17.5,39,
2026,Clemson,65.5,318,64.2,333,112.3,99,116.5,71,101.1,37,97.3,20,19.2,32,8
2026,Cleveland St.,71.4,38,69.7,59,110.1,136,109.4,165,124.4,364,124,362,-14.6,278,
2026,Coastal Carolina,68.3,182,66.8,211,102.7,295,101.8,305,105.3,97,108.6,158,-6.8,215,
2026,Colgate,66.9,250,66.8,209,110.2,131,107.7,195,111.5,257,114.7,289,-7,215,
2026,Colorado,70.1,90,68.7,106,113.1,87,118.9,53,112.7,285,106.8,126,12.1,58,
2026,Colorado St.,64.4,348,63,358,116.7,48,118.9,52,111.6,260,109.4,183,9.5,72,
2026,Columbia,67.1,238,66.7,219,110.2,134,108.5,182,108.6,182,110.5,204,-2,164,
2026,Connecticut,66.1,293,64.4,322,116.3,50,122,30,97.7,11,94.1,11,27.9,10,2
2026,Coppin St.,69.1,145,68,136,92.8,362,92.1,360,116.5,340,119.7,346,-27.6,304,
2026,Cornell,71.3,41,71.2,18,119.5,21,119.8,47,117.6,345,119.3,342,0.5,140,
2026,Creighton,68.6,171,67.5,170,109.2,157,116.2,74,109.3,205,105.2,97,11,61,
2026,CSUN,75.3,3,73.5,2,106.7,214,108.9,175,107.5,146,109.3,177,-0.4,147,
2026,Dartmouth,69.2,138,69.5,69,105.2,245,104.7,257,112.6,283,114.1,275,-9.4,231,
2026,Davidson,63.9,356,63.6,343,107.5,195,109.6,161,104.7,87,104.7,89,4.9,95,
2026,Dayton,68.1,196,66.9,204,108.4,175,110.6,145,101.4,39,99.7,32,10.9,61,
2026,Delaware,64,354,63.1,354,103.9,275,104.4,262,113.6,303,115.7,303,-11.3,245,
2026,Delaware St.,66,296,65.3,291,89.8,365,87.1,365,107.2,140,114.3,282,-27.2,296,
2026,Denver,69.4,122,67.9,144,116.1,51,116,76,121,360,122,359,-6,197,
2026,DePaul,67.7,214,66.2,241,103.7,279,107.1,209,102.8,62,100.3,34,6.8,83,
2026,Detroit Mercy,69.8,103,68.8,100,109.4,150,107.9,190,112.6,281,112.1,238,-4.2,179,
2026,Drake,67.8,211,67.2,186,108,185,109.9,155,111.7,263,112.6,249,-2.7,162,
2026,Drexel,65.2,326,64.2,334,103.2,283,102.4,296,103.3,67,107.1,130,-4.7,182,
2026,Duke,67.1,239,65.3,287,122.5,4,128,4,94.3,2,89.1,2,38.9,1,1
2026,Duquesne,69.3,127,68.6,113,109.1,160,110.7,140,107.8,162,107.3,135,3.4,103,
2026,East Carolina,69.2,140,68.6,110,102.3,302,103.6,275,110.9,241,111,214,-7.4,203,
2026,East Tennessee St.,66.5,270,66,253,114.7,65,109.7,159,105,90,109.2,174,0.5,134,
2026,East Texas A&M,68.5,173,68.2,132,98.4,340,100.7,317,110.7,234,111.5,222,-10.8,233,
2026,Eastern Illinois,66.2,286,65.6,274,96.5,350,96.9,346,108,164,111.7,229,-14.8,256,
2026,Eastern Kentucky,68.7,164,67.3,181,111.4,113,109.1,172,119.1,355,120.8,350,-11.7,238,
2026,Eastern Michigan,68.4,179,66.5,227,101.9,305,101.9,304,107.8,160,108.3,150,-6.4,193,
