Abbrev,Stat Name,Description,Unit,Pctile Dir,Available In,Data Source
FGA in TR,Field Goal Attempts in Transition Offense,An estimate of the total number of field goal attempts taken in the context of transition offense (as opposed to half court or putback).,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
FGA on PB,Field Goal Attempts on Putbacks,An estimate of the total number of field goal attempts taken in the context of putback offense (as opposed to half court or transition).,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
FGM ASTD%,FGM Assisted Pct,The percentage of all fields goals made that were assisted.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
FGM DIFF,Team FGMs - Opponent FGMs,The number of field goals made by the team minus the number of field goals made by the opposing team.,Integer,Highest # = 100th,"Team Game, Team Agg",box_score
FGM Center,FGM from Center of Court,Total field goals made from the center of the court. This includes all shots where the shooter is positioned within 1 foot in either direction of the imaginary centerline of the court connecting the two rims.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
FGM Left,FGM from Left Side of Court,Total field goals made from the left side of the court. This includes all shots where the shooter is positioned more than 1 foot to the left of the court's imaginary centerline.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
FGM Right,FGM from Right Side of Court,Total field goals made from the right side of the court. This includes all shots where the shooter is positioned more than 1 foot to the left of the court's imaginary centerline.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
FGM in HC,Field Goals Made in Half Court Offense,An estimate of the total number of field goals made in the context of half court offense (as opposed to transition or putback).,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
FGM in TR,Field Goals Made in Transition Offense,An estimate of the total number of field goals made in the context of transition offense (as opposed to half court or putback).,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
FGM on PB,Field Goals Made on Putbacks,An estimate of the total number of field goals made in the context of putback offense (as opposed to half court or transition).,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
fgm2Pb,fgm2Pb,No description available,-,-,"Player Game PBP, Team Game PBP",pbp
fgm3Pb,fgm3Pb,No description available,-,-,"Player Game PBP, Team Game PBP",pbp
FGM (0-10s),FGMs (0-10 on Shot Clock),"The total number of field goals made, taken with 0 - 10 seconds remaining on the shot clock.",Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
FGM (10-20s),FGMs (10-20 on Shot Clock),"The total number of field goals made, taken with 10 - 20 seconds remaining on the shot clock.",Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
FGM (20-30s),FGMs (20-30 on Shot Clock),"The total number of field goals made, taken with 20 - 30 seconds remaining on the shot clock.",Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
FGM,Field Goals Made,The total number of field goals made.,Integer,Highest # = 100th,"Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off","box_score, pbp"
FG%,Field Goal Percentage,The percentage of all field goal attempts by the player that were made.,Percentage,Highest % = 100th,"Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off","box_score, pbp"
FFLD%,Floor Fouled Pct,The percentage of possessions where a floor foul was drawn.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
Foul CHLG%,Foul Challenge Success Percentage,Percentage of coach challenges on foul-related plays that were successful.,Percentage,Highest % = 100th,"Team Agg PBP, Team Game PBP",pbp
Foul Challenge,Foul Challenges,Total number of head coach challenges on foul-related plays. Men: restricted-area block/charge positioning only. Women: correct player charged with the foul.,Integer,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
FT%,Free Throw Percentage,Percentage of the player's free throw attempts that were made.,Percentage,Highest % = 100th,"Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off","box_score, pbp"
FTA Rate,Free Throw Attempt Rate,A player's free throw attempts as a percentage of their field goal attempts.,Percentage,Highest % = 100th,"Team Game, Player Agg, Team Agg, Player Game, Lineup, On/Off",box_score
FTA Rate**Adj,Adjusted Free Throw Attempt Rate,"The team's free throw attempt rate, taking into account an adjustment based on the average FTA Rate allowed by the team's opponents throughout the season.",Percentage,Highest % = 100th,Team Agg,kenpom
FTA,Free Throw Attempts,The total number of free throw attempts.,Integer,Highest # = 100th,"Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off","box_score, pbp"
FTM Rate,Free Throw Made Rate,A player's free throws made as a percentage of their field goal attempts.,Percentage,Highest % = 100th,"Team Game, Player Agg, Team Agg, Player Game, Lineup, On/Off",box_score
FT1%,FT% on First Free Throw,Free throw percentage on the first free throw attempt.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
FT2%,FT% on Second Free Throw,Free throw percentage on the second free throw attempt.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
FT3%,FT% on Third Free Throw,Free throw percentage on the third free throw attempt.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
FTA1,First Free Throw Attempts,The total number of first free throw attempts.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ft1a1Pct,ft1a1Pct,No description available,-,-,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
FTM1,First Free Throws Made,The total number of first free throws made.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
FTA2,Second Free Throw Attempts,The total number of second free throw attempts.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
FTM2,Second Free Throws Made,The total number of second free throw attempts made.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
FTA3,Third Free Throw Attempts,The total number of third free throw attempts.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
FTM3,Third Free Throws Made,The total number of third free throw attempts made.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
FTA DIFF,FT Attempt Differential,How many more or fewer free throw attempts the team took compared to their opponent.,Integer,Highest # = 100th,"Team Game, Team Agg",box_score
fta1a1,fta1a1,No description available,-,-,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
FTA/100,Free Throw Attempts / 100 Poss,An estimate of the number of free throw attempts per 100 possessions played.,Number,Highest # = 100th,"Team Agg, Lineup, On/Off",box_score
FTA/40,Free Throw Attempts / 40 Mins,The number of free throw attempts per 40 minutes played.,Number,Highest # = 100th,"Player Agg, Team Agg, Lineup, On/Off",box_score
FTA/G,Free Throw Attempts / Game,The number of free throw attempts per game.,Number,Highest # = 100th,"Player Agg, Team Agg",box_score
FTM DIFF,FT Made Differential,How many more or fewer free throws made the team had compared to their opponent.,Integer,Highest # = 100th,"Team Game, Team Agg",box_score
ftm1a1,ftm1a1,No description available,-,-,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
ftRatio,ftRatio,No description available,-,-,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
FTM,Free Throws Made,The total number of free throws made.,Integer,Highest # = 100th,"Player Game PBP, Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off","box_score, pbp"
GP,Games Played,The number of games played by the player.,Integer,Highest # = 100th,"Team Game, Player Agg, Team Agg, Player Game, Team Agg PBP, Player Agg PBP","box_score, pbp"
GP*,Games Played (PBP),The number of games played the player in games where play-by-play data was tracked and collected by the NCAA.,Integer,Highest # = 100th,"Player Game PBP, Team Game, Player Agg, Team Agg, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP","box_score, pbp"
gameUpdated,gameUpdated,No description available,-,-,Team Game,box_score
GOI CHLG%,Goaltending / Basket Interference Challenge Success Percentage,Percentage of coach challenges on goaltending or basket interference calls that were successful (men's basketball only).,Percentage,Highest % = 100th,"Team Agg PBP, Team Game PBP",pbp
GOI Challenge,Goaltending / Basket Interference Challenges,"Total number of head coach challenges on goaltending or basket interference calls, whether the ball was illegally touched on or above the rim (men's basketball only).",Integer,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
gTk%,Good Take Rate,"The percentage of true shot attempts (FGAs + 0.44 * FTA) that were shots at the rim, from 3P range, or trips to the FT line.",Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
HKM%,Hakeem Percentage,The sum of a player's block percentage and steal percentage.,Percentage,Highest % = 100th,"Team Game, Player Agg, Team Agg, Player Game, Lineup, On/Off",box_score
HC CHNC,Half Court Chances,The total number of chances in the context of half court offense.,Integer,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
HC PPC,Half Court Points / Chance,"For half court offense, the total number of points scored divided by the total number of half court chances.",num2,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
H3 FG%,Heaves 3s FG%,Field goal percentage on heaves (35+ feet).,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
H3 FGA,Heaves 3s FGA,Field goal attempts on heaves (35+ feet).,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
H3 FGA/100,Heaves 3s FGA / 100 Poss,Field goal attempts on heaves (35+ feet) per 100 possessions played.,Number,Highest # = 100th,Team Agg PBP,pbp
H3 FGA/40,Heaves 3s FGA / 40 Mins,Field goal attempts on heaves (35+ feet) per 40 minutes played.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
H3 FGA/G,Heaves 3s FGA / Game,Field goal attempts on heaves (35+ feet) per game.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
H3 FGA%,Heaves 3s FGA%,Percentage of shots taken as heaves (35+ feet).,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
H3 FGM,Heaves 3s FGM,Field goals made on heaves (35+ feet).,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
PAINT2 DRB CHNC,In The Paint 2s Defensive Rebound Chances,The total number of defensive rebounds chances (defensive rebounds grabbed plus opponent offensive rebounds) on opponent's missed shots in the paint (but not at the rim).,Integer,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
PAINT2 DRB%,In The Paint 2s Defensive Rebounding Percentage,Percentage of the opponent's missed shots in the paint (but not at the rim) that were defensive rebounded by the team.,Percentage,Highest % = 100th,"Team Agg PBP, Team Game PBP",pbp
PAINT2 DRB,In The Paint 2s Defensive Rebounds,The total number of defensive rebounds grabbed on opponent's missed shots in the paint (but not at the rim).,Integer,Highest # = 100th,"Team Agg PBP, Team Game PBP",pbp
PAINT2 ASTD%,In The Paint 2s Assisted Pct,The percentage of shots made in the paint (but not at the rim) that were assisted.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
isCT,isCT,No description available,-,-,"Player Game PBP, Team Game, Player Game, Team Game PBP","box_score, pbp"
Largest Deficit,Largest Deficit,The largest point difference by which a team was trailing at any point during the game.,Integer,Lowest # = 100th,Team Game,box_score
Largest Lead,Largest Lead,The largest point difference by which a team was ahead at any point during the game.,Integer,Highest # = 100th,Team Game,box_score
Largest Score Margin,Largest Score Margin,The score at the moment when a team had its largest lead in the game.,txt,Highest # = 100th,Team Game,box_score
LAY+DUNK FGA/100,Layup + Dunk FGAs / 100 Poss,"The number of layups and dunks attempted by the player, per 100 possessions played.",Number,Highest # = 100th,Team Agg PBP,pbp
LAY+DUNK FGA/40,Layup + Dunk FGAs / 40 Mins,"The number of layups and dunks attempted by the player, per 40 minutes played.",Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
LAY+DUNK FGA/G,Layup + Dunk FGAs / G,"The number of layups and dunks attempted by the player, per game.",Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
LAY+DUNK FGA,Layups + Dunks Attempted,The total combined number of layups and dunks attempted by the player.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
LAY+DUNK FGM,Layups + Dunks Made,The total number of layups and dunks made by the player.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
LAYUP FGA,Layups Attempted,The total number of layups attempted by the player.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
LAYUP FGA/100,Layups Attempted / 100 Poss,The number of layups attempted by the player per 100 possessions played.,Number,Highest # = 100th,Team Agg PBP,pbp
LAYUP FGA/40,Layups Attempted / 40 Mins,The number of layups attempted by the player per 40 minutes played.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
LAYUP FGA/G,Layups Attempted / Game,The number of layups attempted by the player per game.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
LAYUP FGM,Layups Made,The total number of layups made by the player.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
Lead Changes,Lead Changes,The number of times the leading team switched between the two teams during a game.,Integer,Highest # = 100th,Team Game,box_score
LB2 FG%,Left Baseline 2s FG%,Field goal percentage on left baseline 2-pointers.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
LB2 FGA,Left Baseline 2s FGA,Field goal attempts on left baseline 2-pointers.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
LB2 FGA/100,Left Baseline 2s FGA / 100 Poss,Field goal attempts on left baseline 2-pointers per 100 possessions played.,Number,Highest # = 100th,Team Agg PBP,pbp
LB2 FGA/40,Left Baseline 2s FGA / 40 Mins,Field goal attempts on left baseline 2-pointers per 40 minutes played.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
LB2 FGA/G,Left Baseline 2s FGA / Game,Field goal attempts on left baseline 2-pointers per game.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
LB2 FGA%,Left Baseline 2s FGA%,Percentage of shots taken as left baseline 2-pointers.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
LB2 FGM,Left Baseline 2s FGM,Field goals made on left baseline 2-pointers.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
LC3 FG%,Left Corner 3s FG%,Field goal percentage on left corner 3-pointers.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
LC3 FGA,Left Corner 3s FGA,Field goal attempts on left corner 3-pointers.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
LC3 FGA/100,Left Corner 3s FGA / 100 Poss,Field goal attempts on left corner 3-pointers per 100 possessions played.,Number,Highest # = 100th,Team Agg PBP,pbp
LC3 FGA/40,Left Corner 3s FGA / 40 Mins,Field goal attempts on left corner 3-pointers per 40 minutes played.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
LC3 FGA/G,Left Corner 3s FGA / Game,Field goal attempts on left corner 3-pointers per game.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
LC3 FGA%,Left Corner 3s FGA%,Percentage of shots taken as left corner 3-pointers.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
LC3 FGM,Left Corner 3s FGM,Field goals made on left corner 3-pointers.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
LE2 FG%,Left Elbow 2s FG%,Field goal percentage on left elbow 2-pointers.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
LE2 FGA,Left Elbow 2s FGA,Field goal attempts on left elbow 2-pointers.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
LE2 FGA/100,Left Elbow 2s FGA / 100 Poss,Field goal attempts on left elbow 2-pointers per 100 possessions played.,Number,Highest # = 100th,Team Agg PBP,pbp
LE2 FGA/40,Left Elbow 2s FGA / 40 Mins,Field goal attempts on left elbow 2-pointers per 40 minutes played.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
LE2 FGA/G,Left Elbow 2s FGA / Game,Field goal attempts on left elbow 2-pointers per game.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
LE2 FGA%,Left Elbow 2s FGA%,Percentage of shots taken as left elbow 2-pointers.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
LE2 FGM,Left Elbow 2s FGM,Field goals made on left elbow 2-pointers.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
L-R FG%,Left - Right FG% Difference,Left side FG% minus Right side FG%. Positive values indicate better shooting from the left side of the court.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
L-R FGA%,Left - Right FGA% Difference,Left side % of shots minus right side % of shots. Positive values indicate a higher share of attempts from the left side of the court.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
LW3 FG%,Left Wing 3s FG%,Field goal percentage on left wing 3-pointers.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
LW3 FGA,Left Wing 3s FGA,Field goal attempts on left wing 3-pointers.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
LW3 FGA/100,Left Wing 3s FGA / 100 Poss,Field goal attempts on left wing 3-pointers per 100 possessions played.,Number,Highest # = 100th,Team Agg PBP,pbp
LW3 FGA/40,Left Wing 3s FGA / 40 Mins,Field goal attempts on left wing 3-pointers per 40 minutes played.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
LW3 FGA/G,Left Wing 3s FGA / Game,Field goal attempts on left wing 3-pointers per game.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
LW3 FGA%,Left Wing 3s FGA%,Percentage of shots taken as left wing 3-pointers.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
LW3 FGM,Left Wing 3s FGM,Field goals made on left wing 3-pointers.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
LNG2 FG%,Long Distance 2s FG%,Field goal percentage on 15+ foot 2-pointers.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
LNG2 FGA,Long Distance 2s FGA,Field goal attempts on 15+ foot 2-pointers.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
LNG2 FGA/100,Long Distance 2s FGA / 100 Poss,Field goal attempts on 15+ foot 2-pointers per 100 possessions played.,Number,Highest # = 100th,Team Agg PBP,pbp
LNG2 FGA/40,Long Distance 2s FGA / 40 Mins,Field goal attempts on 15+ foot 2-pointers per 40 minutes played.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
LNG2 FGA/G,Long Distance 2s FGA / Game,Field goal attempts on 15+ foot 2-pointers per game.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
LNG2 FGA%,Long Distance 2s FGA%,Percentage of shots taken as 15+ foot 2-pointers.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
LNG2 FGM,Long Distance 2s FGM,Field goals made on 15+ foot 2-pointers.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
LNG3 FG%,Long Distance 3s FG%,Field goal percentage on 25+ foot 3-pointers.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
LNG3 FGA,Long Distance 3s FGA,Field goal attempts on 25+ foot 3-pointers.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
LNG3 FGA/100,Long Distance 3s FGA / 100 Poss,Field goal attempts on 25+ foot 3-pointers per 100 possessions played.,Number,Highest # = 100th,Team Agg PBP,pbp
LNG3 FGA/40,Long Distance 3s FGA / 40 Mins,Field goal attempts on 25+ foot 3-pointers per 40 minutes played.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
LNG3 FGA/G,Long Distance 3s FGA / Game,Field goal attempts on 25+ foot 3-pointers per game.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
LNG3 FGA%,Long Distance 3s FGA%,Percentage of shots taken as 25+ foot 3-pointers.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
LNG3 FGM,Long Distance 3s FGM,Field goals made on 25+ foot 3-pointers.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
Longest Scoring Run,Longest Scoring Run,The longest sequence of consecutive points scored by a team without the opposing team scoring.,Integer,Highest # = 100th,Team Game,box_score
Longest Scoring Run Score,Longest Scoring Run Score,The score at the moment when a team had its longest scoring run in the game.,txt,Highest # = 100th,Team Game,box_score
Losses,Losses,The total number of games lost by the team.,Integer,Lowest # = 100th,"Player Game PBP, Team Game, Team Agg, Player Game, Team Agg PBP, Team Game PBP","box_score, pbp"
LOSS10,Losses Leading by 10,The number of losses by the team where the team led by 10+ points at some point in the game.,Integer,Lowest # = 100th,Team Agg,box_score
LOSS15,Losses Leading by 15,The number of losses by the team where the team led by 15+ points at some point in the game.,Integer,Lowest # = 100th,Team Agg,box_score
LOSS20,Losses Leading by 20,The number of losses by the team where the team led by 20+ points at some point in the game.,Integer,Lowest # = 100th,Team Agg,box_score
LOSS5,Losses Leading by 5,The number of losses by the team where the team led by 5+ points at some point in the game.,Integer,Lowest # = 100th,Team Agg,box_score
NO LEAD L,Losses Without Leading,The number of losses by the team where the team did not lead at any point in the game.,Integer,Highest # = 100th,Team Agg,box_score
TOV LOST,Lost Ball Turnover,The total number of turnovers tagged by the scorer as a lost ball turnover by the team.,Integer,Lowest # = 100th,"Team Agg PBP, Team Game PBP",pbp
MED2 FG%,Medium Distance 2s FG%,Field goal percentage on 10-15 foot 2-pointers.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
MED2 FGA,Medium Distance 2s FGA,Field goal attempts on 10-15 foot 2-pointers.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
MED2 FGA/100,Medium Distance 2s FGA / 100 Poss,Field goal attempts on 10-15 foot 2-pointers per 100 possessions played.,Number,Highest # = 100th,Team Agg PBP,pbp
MED2 FGA/40,Medium Distance 2s FGA / 40 Mins,Field goal attempts on 10-15 foot 2-pointers per 40 minutes played.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
MED2 FGA/G,Medium Distance 2s FGA / Game,Field goal attempts on 10-15 foot 2-pointers per game.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
MED2 FGA%,Medium Distance 2s FGA%,Percentage of shots taken as 10-15 foot 2-pointers.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
MED2 FGM,Medium Distance 2s FGM,Field goals made on 10-15 foot 2-pointers.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
MID2 FG%,Midrange 2s FG%,Field goal percentage on midrange 2s.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off",pbp
MID2 FG% (0-10s),Midrange 2s FG% with 0-10 Secs on Shot Clock,Field goal percentage on midrange 2s taken with 0 - 10 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
MID2 FG% (10-20s),Midrange 2s FG% with 10-20 Secs on Shot Clock,Field goal percentage on midrange 2s taken with 10 - 20 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
MID2 FG% (20-30s),Midrange 2s FG% with 20-30 Secs on Shot Clock,Field goal percentage on midrange 2s taken with 20 - 30 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
MID2 FGA,Midrange 2s FGA,Field goal attempts on midrange 2s.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off",pbp
MID2 FGA (0-10s),Midrange 2s FGAs with 0-10 Secs on Shot Clock,The total number of field goal attempts on midrange 2s taken with 0 - 10 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
MID2 FGA (10-20s),Midrange 2s FGAs with 10-20 Secs on Shot Clock,The total number of field goal attempts on midrange 2s taken with 10 - 20 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
MID2 FGA (20-30s),Midrange 2s FGAs with 20-30 Secs on Shot Clock,The total number of field goal attempts on midrange 2s taken with 20 - 30 seconds remaining on the shot clock.,Integer,Highest # = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
MID2 FGA/100,Midrange 2s FGA / 100 Poss,Field goal attempts on midrange 2s per 100 possessions played.,Number,Highest # = 100th,"Team Agg PBP, Lineup, On/Off",pbp
MID2 FGA/40,Midrange 2s FGA / 40 Mins,Field goal attempts on midrange 2s per 40 minutes played.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP, Lineup, On/Off",pbp
MID2 FGA/G,Midrange 2s FGA / Game,Field goal attempts on midrange 2s per game.,Number,Highest # = 100th,"Team Agg PBP, Player Agg PBP",pbp
MID2 FGA%,Midrange 2s FGA%,Percentage of shots taken as midrange 2s.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Lineup, Team Game PBP, On/Off",pbp
MID2 FGA% (0-10s) A,Midrange 2s FGA% (0-10s) % of all shots,Percentage of all shots taken that were midrange 2s with 0 - 10 seconds remaining on the shot clock.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
MID2 FGA% (0-10s) C,Midrange 2s FGA% (0-10s) % of 0-10s shots,Percentage of all shots taken with 0 - 10 seconds remaining on the shot clock that were midrange 2s.,Percentage,Highest % = 100th,"Player Game PBP, Team Agg PBP, Player Agg PBP, Team Game PBP",pbp
